Nozzle, Nozzle type (SUPER_SHORT|BLOCKED|OFFSET|INSTALLED|COVERED), Orifice diameter
C197, OFFSET, 1000
C198, INSTALLED, 1000
C199, OFFSET, 1000
C200, INSTALLED, 1000
C201, INSTALLED, 1000
C202, INSTALLED, 1000
C203, SUPER_SHORT, 1000
C204, OFFSET, 1000
C205, OFFSET, 1000
C206, INSTALLED, 1000
C207, INSTALLED, 1000
C208, INSTALLED, 1000
C209, INSTALLED, 1000
C210, INSTALLED, 1000
C211, INSTALLED, 1000
C212, SUPER_SHORT, 1000
C213, INSTALLED, 1000
C214, OFFSET, 1000
C215, INSTALLED, 1000
C216, INSTALLED, 1000
C217, OFFSET, 1000
C218, INSTALLED, 1000
C219, INSTALLED, 1000
C220, OFFSET, 1000
C221, INSTALLED, 1000
C222, INSTALLED, 1000
C223, INSTALLED, 1000
C224, OFFSET, 1000
C225, INSTALLED, 1000
C226, OFFSET, 1000
C227, INSTALLED, 1000
C228, INSTALLED, 1000
C229, INSTALLED, 1000
C230, INSTALLED, 1000
C231, SUPER_SHORT, 1000
C232, INSTALLED, 1000
C233, INSTALLED, 1000
C234, INSTALLED, 1000
C235, INSTALLED, 1000
C236, INSTALLED, 1000
C237, OFFSET, 1000
C238, OFFSET, 1000
C239, INSTALLED, 1000
C240, INSTALLED, 1000
C241, OFFSET, 1000
C242, INSTALLED, 1000
C243, SUPER_SHORT, 1000
C244, INSTALLED, 1000
C245, INSTALLED, 1000
C246, INSTALLED, 1000
C247, OFFSET, 1000
C248, INSTALLED, 1000
C249, INSTALLED, 1000
C250, INSTALLED, 1000
C251, INSTALLED, 1000
C252, SUPER_SHORT, 1000
C253, INSTALLED, 1000
C254, INSTALLED, 1000
C255, INSTALLED, 1000
C256, OFFSET, 1000
C257, INSTALLED, 1000
C258, INSTALLED, 1000
C259, INSTALLED, 1000
C260, OFFSET, 1000
C261, SUPER_SHORT, 1000
C262, OFFSET, 1000
C263, SUPER_SHORT, 1000
C264, INSTALLED, 1000
C265, INSTALLED, 1000
C266, INSTALLED, 1000
C267, INSTALLED, 1000
C268, INSTALLED, 1000
C269, OFFSET, 1000
C270, OFFSET, 1000
C271, OFFSET, 1000
C272, INSTALLED, 1000
C273, INSTALLED, 1000
C274, OFFSET, 1000
C275, INSTALLED, 1000
D1, INSTALLED, 500
D2, INSTALLED, 500
D3, INSTALLED, 500
D4, BLOCKED, 0
D5, OFFSET, 1000
D6, INSTALLED, 500
D7, INSTALLED, 1000
D8, INSTALLED, 1000
D9, INSTALLED, 1000
D10, BLOCKED, 1000
D11, OFFSET, 1000
D12, INSTALLED, 1000
D13, INSTALLED, 1000
D14, INSTALLED, 1000
D15, INSTALLED, 1000
D16, INSTALLED, 1000
D17, INSTALLED, 1000
D18, INSTALLED, 1000
D19, INSTALLED, 1000
D20, INSTALLED, 500
D21, INSTALLED, 500
D22, INSTALLED, 500
D23, INSTALLED, 500
D24, INSTALLED, 500
D25, INSTALLED, 1000
D26, INSTALLED, 1000
D27, INSTALLED, 1000
D28, INSTALLED, 1000
D29, INSTALLED, 1000
D30, INSTALLED, 1000
D31, INSTALLED, 1000
D32, INSTALLED, 1000
D33, INSTALLED, 1000
D34, SUPER_SHORT, 1000
D35, SUPER_SHORT, 1000
D36, OFFSET, 1000
D37, INSTALLED, 1000
D38, OFFSET, 1000
D39, INSTALLED, 500
D40, INSTALLED, 500
D41, INSTALLED, 1000
D42, INSTALLED, 500
D43, INSTALLED, 500
D44, INSTALLED, 1000
D45, INSTALLED, 1000
D46, INSTALLED, 1000
D47, INSTALLED, 1000
D48, INSTALLED, 1000
D49, INSTALLED, 1000
D50, INSTALLED, 1000
D51, INSTALLED, 1000
D52, INSTALLED, 1000
D53, INSTALLED, 1000
D54, INSTALLED, 1000
D55, INSTALLED, 1000
D56, OFFSET, 1000
D57, OFFSET, 1000
D58, SUPER_SHORT, 1000
D59, OFFSET, 1000
D60, INSTALLED, 1000
D61, INSTALLED, 500
D62, INSTALLED, 500
D63, INSTALLED, 1000
D64, SUPER_SHORT, 1000
D65, SUPER_SHORT, 1000
D66, OFFSET, 1000
D67, INSTALLED, 1000
D68, INSTALLED, 1000
D69, INSTALLED, 1000
D70, SUPER_SHORT, 1000
D71, SUPER_SHORT, 1000
D72, OFFSET, 1000
D73, INSTALLED, 1000
D74, INSTALLED, 1000
D75, INSTALLED, 1000
D76, INSTALLED, 1000
D77, INSTALLED, 1000
D78, INSTALLED, 500
D79, INSTALLED, 1000
D80, INSTALLED, 500
D81, INSTALLED, 500
D82, INSTALLED, 1000
D83, INSTALLED, 1000
D84, INSTALLED, 1000
D85, INSTALLED, 1000
D86, INSTALLED, 1000
D87, INSTALLED, 1000
D88, INSTALLED, 1000
D89, INSTALLED, 1000
D90, INSTALLED, 1000
D91, INSTALLED, 1000
D92, INSTALLED, 1000
D93, INSTALLED, 1000
D94, INSTALLED, 1000
D95, INSTALLED, 1000
D96, INSTALLED, 1000
D97, INSTALLED, 500
D98, INSTALLED, 500
D99, SUPER_SHORT, 1000
D100, SUPER_SHORT, 1000
D101, OFFSET, 1000
D102, INSTALLED, 1000
D103, INSTALLED, 1000
D104, INSTALLED, 1000
D105, SUPER_SHORT, 1000
D106, SUPER_SHORT, 1000
D107, OFFSET, 1000
D108, INSTALLED, 1000
D109, INSTALLED, 1000
D110, INSTALLED, 1000
D111, SUPER_SHORT, 1000
D112, SUPER_SHORT, 1000
D113, SUPER_SHORT, 1000
D114, INSTALLED, 500
D115, INSTALLED, 500
D116, INSTALLED, 1000
D117, INSTALLED, 1000
D118, INSTALLED, 1000
D119, INSTALLED, 1000
D120, INSTALLED, 1000
D121, INSTALLED, 1000
D122, INSTALLED, 1000
D123, INSTALLED, 1000
D124, INSTALLED, 1000
D125, INSTALLED, 1000
D126, INSTALLED, 1000
D127, INSTALLED, 1000
D128, INSTALLED, 1000
D129, INSTALLED, 1000
D130, SUPER_SHORT, 1000
D131, OFFSET, 1000
D132, INSTALLED, 1000
D133, INSTALLED, 1000
D134, INSTALLED, 1000
D135, SUPER_SHORT, 1000
D136, SUPER_SHORT, 1000
D137, OFFSET, 1000
D138, INSTALLED, 1000
D139, INSTALLED, 1000
D140, INSTALLED, 1000
D141, SUPER_SHORT, 1000
D142, SUPER_SHORT, 1000
D143, OFFSET, 1000
D144, INSTALLED, 1000
D145, INSTALLED, 1000
D146, INSTALLED, 1000
D147, OFFSET, 1000
D148, INSTALLED, 1000
D149, INSTALLED, 1000
D150, INSTALLED, 1000
D151, INSTALLED, 1000
D152, INSTALLED, 1000
D153, INSTALLED, 1000
D154, INSTALLED, 1000
D155, INSTALLED, 1000
D156, INSTALLED, 1000
D157, INSTALLED, 1000
D158, INSTALLED, 1000
D159, INSTALLED, 1000
D160, INSTALLED, 1000
D161, INSTALLED, 1000
D162, INSTALLED, 1000
D163, INSTALLED, 1000
D164, SUPER_SHORT, 1000
D165, SUPER_SHORT, 1000
D166, OFFSET, 1000
D167, INSTALLED, 1000
D168, INSTALLED, 1000
D169, INSTALLED, 1000
D170, SUPER_SHORT, 1000
D171, SUPER_SHORT, 1000
D172, INSTALLED, 1000
D173, INSTALLED, 1000
D174, INSTALLED, 1000
